epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,474.4,0.74294,0.4654,0.95369,0.87568,0.79293,0.85056,0.61195,1.06386,0.80441,1.01547,0.00103555,0.00103555,0.00103555
43,484.497,0.73053,0.45973,0.95067,0.89744,0.85032,0.91867,0.64228,1.08443,0.67957,1.02265,0.00102566,0.00102566,0.00102566
44,497.278,0.73201,0.45977,0.95489,0.89296,0.87974,0.91589,0.60819,1.25464,0.67274,1.06463,0.00101559,0.00101559,0.00101559
45,509.459,0.71707,0.44471,0.94975,0.90023,0.90882,0.94907,0.67704,1.04221,0.5991,0.98804,0.00100535,0.00100535,0.00100535
46,518.611,0.73967,0.45081,0.95175,0.92282,0.85113,0.92847,0.66683,1.02664,0.6094,1.00046,0.000994942,0.000994942,0.000994942
47,529.6,0.71859,0.4492,0.95146,0.91356,0.91682,0.94623,0.67183,1.07747,0.60328,1.02268,0.000984379,0.000984379,0.000984379
48,542.814,0.719,0.44832,0.94651,0.89659,0.83756,0.89466,0.62218,1.15417,0.72206,1.04202,0.000973661,0.000973661,0.000973661
49,552.532,0.72511,0.44561,0.95045,0.91172,0.87693,0.94143,0.66741,1.07772,0.5944,0.99473,0.000962793,0.000962793,0.000962793
50,563.629,0.71293,0.43945,0.94063,0.9037,0.90858,0.94104,0.67456,1.0335,0.58282,1.00159,0.000951779,0.000951779,0.000951779
51,573.699,0.71574,0.43802,0.94535,0.91937,0.87133,0.93794,0.68573,1.00388,0.61916,0.98566,0.000940625,0.000940625,0.000940625
52,587.247,0.71569,0.43788,0.94365,0.88695,0.91339,0.93835,0.67733,1.01178,0.61093,0.97866,0.000929335,0.000929335,0.000929335
53,596.712,0.70314,0.4289,0.94038,0.92332,0.87639,0.92664,0.68171,1.02099,0.61134,0.98842,0.000917914,0.000917914,0.000917914
54,607.02,0.70439,0.4304,0.94455,0.88319,0.86713,0.92414,0.66812,1.00615,0.69717,0.97714,0.000906368,0.000906368,0.000906368
55,620.877,0.6908,0.42042,0.93479,0.94112,0.8847,0.93698,0.68816,1.0102,0.60789,0.98583,0.000894701,0.000894701,0.000894701
56,630.32,0.69843,0.43684,0.93941,0.88728,0.87046,0.91552,0.66471,1.04711,0.59428,1.00925,0.000882918,0.000882918,0.000882918
57,641.803,0.6937,0.41931,0.93844,0.9278,0.89498,0.9495,0.68518,1.03978,0.57466,0.99221,0.000871025,0.000871025,0.000871025
58,652.906,0.70096,0.42266,0.93712,0.93496,0.84939,0.91213,0.67252,0.99586,0.74736,0.97363,0.000859027,0.000859027,0.000859027
59,663.793,0.70277,0.42235,0.94148,0.89268,0.91713,0.95248,0.70078,0.95191,0.57324,0.96531,0.000846929,0.000846929,0.000846929
60,674.911,0.70742,0.41844,0.94284,0.90049,0.91013,0.93962,0.67213,1.04615,0.60636,0.98352,0.000834736,0.000834736,0.000834736
61,687.038,0.67757,0.41111,0.93316,0.9117,0.89611,0.94387,0.67956,1.03685,0.59471,0.98631,0.000822454,0.000822454,0.000822454
62,698.409,0.66882,0.40044,0.9294,0.91094,0.86295,0.92768,0.68778,0.98764,0.62237,0.98183,0.000810088,0.000810088,0.000810088
63,708.763,0.6767,0.4105,0.93006,0.91476,0.89135,0.93076,0.66,1.06541,0.60758,0.97854,0.000797644,0.000797644,0.000797644
64,718.855,0.67971,0.40684,0.93339,0.92012,0.89513,0.93959,0.68543,1.02367,0.64676,0.99627,0.000785127,0.000785127,0.000785127
65,730.489,0.68305,0.40077,0.92757,0.90858,0.89691,0.93848,0.68926,1.00709,0.62291,0.9759,0.000772542,0.000772542,0.000772542
66,741.37,0.67654,0.40168,0.92741,0.93358,0.91535,0.95927,0.69763,1.01069,0.53928,0.96285,0.000759895,0.000759895,0.000759895
67,752.992,0.67494,0.40401,0.93147,0.93586,0.90443,0.94968,0.69812,0.98793,0.57366,0.96217,0.000747192,0.000747192,0.000747192
68,764.174,0.66238,0.3993,0.92737,0.93499,0.91572,0.95646,0.6852,1.04467,0.54885,0.97843,0.000734438,0.000734438,0.000734438
69,775.433,0.67089,0.39911,0.92879,0.93729,0.88145,0.92882,0.69145,0.96441,0.62651,0.95257,0.000721639,0.000721639,0.000721639
70,786.704,0.66595,0.39555,0.92361,0.93088,0.92193,0.95479,0.70458,0.99789,0.56936,0.98262,0.0007088,0.0007088,0.0007088
71,797.759,0.65827,0.3906,0.92157,0.91114,0.90459,0.93987,0.69887,0.99271,0.57179,0.97638,0.000695927,0.000695927,0.000695927
72,810.287,0.6524,0.38947,0.92478,0.9164,0.91641,0.94876,0.69462,1.00715,0.56075,0.97507,0.000683026,0.000683026,0.000683026
73,819.524,0.65353,0.38421,0.91905,0.93215,0.86934,0.93233,0.69266,1.00393,0.55763,0.9736,0.000670102,0.000670102,0.000670102
74,830.41,0.64655,0.38239,0.92032,0.95307,0.87626,0.92405,0.69287,0.98265,0.61606,0.97095,0.000657161,0.000657161,0.000657161
75,841.697,0.65377,0.38608,0.9216,0.93897,0.91158,0.95084,0.66897,1.09509,0.57398,0.99061,0.000644208,0.000644208,0.000644208
76,853.301,0.65053,0.382,0.91775,0.92574,0.88723,0.94365,0.69798,0.99161,0.59661,0.95785,0.00063125,0.00063125,0.00063125
77,864.099,0.64857,0.38188,0.91456,0.94508,0.89229,0.95257,0.69482,1.00392,0.54183,0.96776,0.000618292,0.000618292,0.000618292
78,874.979,0.64674,0.38479,0.9183,0.92908,0.91138,0.95153,0.70004,1.00855,0.53087,0.97453,0.000605339,0.000605339,0.000605339
79,887.736,0.64197,0.37774,0.91663,0.91491,0.91045,0.94414,0.68816,1.04445,0.53805,0.97705,0.000592398,0.000592398,0.000592398
80,896.729,0.64263,0.37943,0.91738,0.94371,0.89874,0.93915,0.69664,0.99588,0.53414,0.95945,0.000579474,0.000579474,0.000579474
81,906.866,0.63908,0.37223,0.91897,0.93086,0.91033,0.95158,0.68459,1.05043,0.53806,0.96488,0.000566573,0.000566573,0.000566573
82,919.895,0.63169,0.37335,0.91276,0.91988,0.92899,0.94576,0.66667,1.09951,0.51174,0.99661,0.0005537,0.0005537,0.0005537
83,929.891,0.63486,0.36703,0.91584,0.92746,0.89344,0.92811,0.68702,1.04051,0.55119,0.98219,0.000540861,0.000540861,0.000540861
84,941.595,0.62155,0.36276,0.91305,0.94397,0.9159,0.95458,0.697,1.01298,0.5456,0.9666,0.000528062,0.000528062,0.000528062
85,952.521,0.61904,0.36653,0.9139,0.92999,0.89391,0.93873,0.67367,1.0527,0.58755,0.96691,0.000515308,0.000515308,0.000515308
86,965.017,0.62343,0.36386,0.91137,0.92891,0.91011,0.94583,0.70858,0.98921,0.53491,0.96234,0.000502605,0.000502605,0.000502605
87,973.843,0.62985,0.36345,0.91109,0.90953,0.90445,0.93593,0.69559,0.99567,0.58495,0.95818,0.000489958,0.000489958,0.000489958
88,985.567,0.62649,0.36037,0.90781,0.90157,0.91369,0.94364,0.69316,0.9815,0.53769,0.94637,0.000477373,0.000477373,0.000477373
89,998.585,0.62167,0.36147,0.90844,0.89382,0.92268,0.94645,0.69142,1.01953,0.525,0.9708,0.000464856,0.000464856,0.000464856
90,1008.2,0.61752,0.35279,0.90551,0.92998,0.91177,0.94553,0.71231,0.96766,0.53754,0.95223,0.000452412,0.000452412,0.000452412
91,1019.29,0.61459,0.35757,0.90534,0.94483,0.90432,0.95549,0.70878,0.98948,0.50499,0.95397,0.000440046,0.000440046,0.000440046
92,1029.68,0.60596,0.35139,0.90439,0.95993,0.91945,0.95924,0.70584,0.99583,0.49497,0.96449,0.000427764,0.000427764,0.000427764
93,1041.23,0.61462,0.35891,0.90914,0.94936,0.9263,0.9594,0.70205,0.99802,0.51042,0.95021,0.000415571,0.000415571,0.000415571
94,1053.02,0.58988,0.34307,0.90091,0.92596,0.92513,0.9557,0.70437,0.98059,0.50814,0.95856,0.000403473,0.000403473,0.000403473
95,1063.67,0.60306,0.3491,0.9049,0.93052,0.89419,0.94272,0.71026,0.95069,0.5422,0.95796,0.000391475,0.000391475,0.000391475
96,1076.4,0.59715,0.34931,0.90179,0.92167,0.94244,0.95754,0.70178,1.02704,0.50527,0.96707,0.000379582,0.000379582,0.000379582
97,1085.73,0.59267,0.34343,0.90112,0.94712,0.9183,0.94986,0.69955,1.0127,0.52929,0.96922,0.000367799,0.000367799,0.000367799
98,1096.19,0.60415,0.34676,0.90655,0.92128,0.92449,0.94574,0.70635,0.96997,0.50842,0.9592,0.000356132,0.000356132,0.000356132
99,1107.12,0.59099,0.33958,0.89975,0.91751,0.93083,0.94466,0.68911,1.02408,0.50966,0.9794,0.000344586,0.000344586,0.000344586
100,1118.79,0.59324,0.34247,0.90267,0.93253,0.89441,0.93478,0.69442,1.00692,0.53737,0.98177,0.000333165,0.000333165,0.000333165
101,1131.44,0.58311,0.33778,0.89979,0.92102,0.9173,0.9475,0.71086,0.95474,0.52877,0.95497,0.000321875,0.000321875,0.000321875
102,1141.76,0.59089,0.33554,0.90351,0.93331,0.92158,0.95638,0.71626,0.94725,0.508,0.9494,0.000310721,0.000310721,0.000310721
103,1153.84,0.59688,0.34009,0.90271,0.94314,0.92399,0.95298,0.70615,0.98055,0.51439,0.96118,0.000299707,0.000299707,0.000299707
104,1165.42,0.5887,0.33645,0.9002,0.91914,0.94429,0.95966,0.71358,0.97062,0.50664,0.95722,0.000288839,0.000288839,0.000288839
